;date;average_price;total_volume;gala;fuji;granny_smith;total_bags;s_bags;l_bags;xl_bags;type;region
0;27/12/2015;1.33;6423662;103674;5445485;4816;869687;860362;9325;0;conventional;Albany
1;20/12/2015;1.35;5487698;67428;4463881;5833;950556;940807;9749;0;conventional;Albany
2;13/12/2015;0.93;11822022;79470;10914967;13050;814535;804221;10314;0;conventional;Albany
3;06/12/2015;1.08;7899215;113200;7197641;7258;581116;567740;13376;0;conventional;Albany
4;29/11/2015;1.28;5103960;94148;4383839;7578;618395;598626;19769;0;conventional;Albany
5;22/11/2015;1.26;5597978;118427;4806799;4361;668391;655647;12744;0;conventional;Albany
6;15/11/2015;0.99;8345376;136892;7367272;9326;831886;819681;12205;0;conventional;Albany
7;08/11/2015;0.98;10942833;70375;10181536;8000;682922;626685;56237;0;conventional;Albany
8;01/11/2015;1.02;9981142;102215;8731557;8534;1138836;1110453;28383;0;conventional;Albany
9;25/10/2015;1.07;7433876;84240;6475744;11300;862592;806147;56445;0;conventional;Albany
10;18/10/2015;1.12;8484344;92486;7559585;11707;820566;787786;32780;0;conventional;Albany
11;11/10/2015;1.28;6448917;158203;5267792;10532;1012390;986627;25763;0;conventional;Albany
12;04/10/2015;1.31;6100710;226832;4988067;10136;875675;837998;37677;0;conventional;Albany
13;27/09/2015;0.99;10680339;120488;9940921;15484;603446;588887;14559;0;conventional;Albany
14;20/09/2015;1.33;6975901;102803;5931312;15050;926736;848910;77826;0;conventional;Albany
15;13/09/2015;1.28;7611127;98573;6569686;14200;928668;866519;62149;0;conventional;Albany
16;06/09/2015;1.11;9917296;87945;9006262;24079;799010;776287;22723;0;conventional;Albany
17;30/08/2015;1.07;10569384;68901;9436267;33543;1030673;1021893;8780;0;conventional;Albany
18;23/08/2015;1.34;7999209;73316;6793379;44478;1088036;1074579;13457;0;conventional;Albany
19;16/08/2015;1.33;8004378;53965;6866601;39490;1044322;1029768;14554;0;conventional;Albany
20;09/08/2015;1.12;11114093;58463;10096146;36895;922589;911634;10955;0;conventional;Albany
21;02/08/2015;1.45;7513310;50994;6203506;74108;1184702;1176852;7850;0;conventional;Albany
22;26/07/2015;1.11;10675710;64875;9194905;96661;1319269;1306153;13116;0;conventional;Albany
23;19/07/2015;1.26;9661700;104210;8204940;223802;1128748;1110349;18399;0;conventional;Albany
24;12/07/2015;1.05;12405531;67225;9469352;425764;2443190;2429008;10849;3333;conventional;Albany
25;05/07/2015;1.35;10925212;86945;7260055;588316;2989896;2966319;23577;0;conventional;Albany
26;28/06/2015;1.37;8953481;66423;5754579;466271;2666208;2631176;35032;0;conventional;Albany
27;21/06/2015;1.27;10484939;80401;7668855;548118;2187565;2166200;21365;0;conventional;Albany
28;14/06/2015;1.32;8963130;85058;5540094;437719;2900259;2834314;65945;0;conventional;Albany
29;07/06/2015;1.07;12274306;65671;9922082;9032;2277521;2231499;46022;0;conventional;Albany
30;31/05/2015;1.23;9512362;92237;7046969;5055;2368101;2322249;45852;0;conventional;Albany
31;24/05/2015;1.19;10147091;68027;7137681;5870;2935513;2876181;59332;0;conventional;Albany
32;17/05/2015;1.43;10985747;115055;8195516;9432;2665744;2628543;37201;0;conventional;Albany
33;10/05/2015;1.26;12042791;142043;10200052;18566;1682130;1653555;28575;0;conventional;Albany
34;03/05/2015;1.2;5919767;91987;4549005;21724;1257051;1220195;36856;0;conventional;Albany
35;26/04/2015;1.22;4958546;87565;3584175;8962;1277844;1207683;70161;0;conventional;Albany
36;19/04/2015;1.19;4906473;77415;3394151;4715;1430192;1360297;69895;0;conventional;Albany
37;12/04/2015;1.13;4836429;86427;3037415;2150;1710437;1643849;66588;0;conventional;Albany
38;05/04/2015;1.16;4736213;96177;3557766;9376;1072894;986916;75561;10417;conventional;Albany
39;29/03/2015;1.02;6779908;140228;5862322;8950;768408;720849;47559;0;conventional;Albany
40;22/03/2015;1.12;4634685;214183;3431356;14180;974966;925260;49706;0;conventional;Albany
41;15/03/2015;1.11;4304579;212826;3044717;9967;1037069;998959;38110;0;conventional;Albany
42;08/03/2015;1.07;4050736;79568;3037064;15905;918199;882755;35444;0;conventional;Albany
43;01/03/2015;0.99;5559574;62946;4563334;18149;915145;898606;16539;0;conventional;Albany
44;22/02/2015;1.07;4567505;108838;3505613;15100;937954;900016;37938;0;conventional;Albany
45;15/02/2015;1.06;4156762;98666;3004551;22242;1031303;997987;33316;0;conventional;Albany
46;08/02/2015;0.99;5125397;135737;3911181;16325;1062154;1011310;50844;0;conventional;Albany
47;01/02/2015;0.99;7087360;135390;6001720;17932;932318;917082;15236;0;conventional;Albany
48;25/01/2015;1.06;4514750;94138;3319616;16414;1084582;1010335;74247;0;conventional;Albany
49;18/01/2015;1.17;4451128;91414;3154032;13577;1192105;1165109;26996;0;conventional;Albany
50;11/01/2015;1.24;4119508;100285;3164034;12712;842477;803604;38873;0;conventional;Albany
51;04/01/2015;1.22;4087328;281950;2828742;4990;971646;918693;52953;0;conventional;Albany
0;27/12/2015;0.99;38610049;29209736;2735092;29790;6635431;4860595;1774836;0;conventional;Atlanta
1;20/12/2015;1.08;33137753;25177415;2070245;10306;5879787;4693026;1186761;0;conventional;Atlanta
2;13/12/2015;0.96;41777247;32493228;3101908;27580;6154531;3890357;2262821;1353;conventional;Atlanta
3;06/12/2015;1.07;35763682;28302401;2374085;18192;5069004;3703267;1365466;271;conventional;Atlanta
4;29/11/2015;0.99;33328079;25028865;2888963;30783;5379468;3303172;2073855;2441;conventional;Atlanta
5;22/11/2015;1;35641457;26979903;2973230;50116;5638208;3699230;1938978;0;conventional;Atlanta
6;15/11/2015;1.13;33986068;26391578;2844245;45597;4704648;3365642;1339006;0;conventional;Atlanta
7;08/11/2015;1.12;33404160;25044138;3448333;48824;4862865;3566293;1294112;2460;conventional;Atlanta
8;01/11/2015;0.99;41908874;29045750;6298007;25279;6539838;3946077;2592939;822;conventional;Atlanta
9;25/10/2015;1.09;35847808;23681429;6460797;30436;5675146;3182688;2492458;0;conventional;Atlanta
10;18/10/2015;1.09;34907248;22871028;5973179;29122;6033919;3688435;2345484;0;conventional;Atlanta
11;11/10/2015;0.95;43387446;25593332;9104732;59971;8629411;4115996;4513415;0;conventional;Atlanta
12;04/10/2015;0.96;41868226;26579709;9278033;64443;5946041;1487564;4458477;0;conventional;Atlanta
13;27/09/2015;1.07;37032117;26210744;6187063;68080;4566230;2053387;2512565;278;conventional;Atlanta
14;20/09/2015;0.93;51643260;34611851;8276272;134941;8620196;3369843;5244225;6128;conventional;Atlanta
15;13/09/2015;1.07;41723218;27804826;6248597;71493;7598302;4629032;2967876;1394;conventional;Atlanta
16;06/09/2015;0.97;47213653;30311324;7367585;91125;9443619;4983355;4454967;5297;conventional;Atlanta
17;30/08/2015;1.15;38297272;27581827;4483912;103409;6128124;4713807;1411250;3067;conventional;Atlanta
18;23/08/2015;1.12;37905429;27446242;4622369;95009;5741809;4553411;1188398;0;conventional;Atlanta
19;16/08/2015;1.09;46521381;36257951;4199244;142496;5921690;4506825;1414865;0;conventional;Atlanta
20;09/08/2015;1.01;50379172;38502771;4704007;425174;6747220;4582045;2156848;8327;conventional;Atlanta
21;02/08/2015;1.15;40589844;30658786;4190678;351548;5388832;4212647;1172030;4155;conventional;Atlanta
22;26/07/2015;1.08;43737775;33537202;4408707;70800;5721066;4511422;1209644;0;conventional;Atlanta
23;19/07/2015;0.97;55721299;44610017;4783842;198203;6129237;4509987;1619250;0;conventional;Atlanta
24;12/07/2015;1.14;40720488;31008033;3795324;86746;5830385;4602359;1228026;0;conventional;Atlanta
25;05/07/2015;1.01;56246233;43637791;5467538;84855;7056049;5068474;1985100;2475;conventional;Atlanta
26;28/06/2015;1.13;43521071;33135343;3769853;81656;6534219;5209976;1310803;13440;conventional;Atlanta
27;21/06/2015;0.99;55476376;44931147;3023178;67840;7454211;5548476;1901081;4654;conventional;Atlanta
28;14/06/2015;1.1;46580478;38637050;1770112;47172;6126144;4861213;1257828;7103;conventional;Atlanta
29;07/06/2015;0.99;55100905;45556592;2241417;73868;7229028;5095484;2132999;545;conventional;Atlanta
30;31/05/2015;1.1;45470200;38290099;1954318;52281;5173502;4050516;1119995;2991;conventional;Atlanta
31;24/05/2015;0.96;62321204;53812694;2728443;126080;5653987;3386700;2265115;2172;conventional;Atlanta
32;17/05/2015;1.11;45125070;38640089;1861884;83868;4539229;3371020;1168209;0;conventional;Atlanta
33;10/05/2015;1.1;48007118;41345296;1886063;108933;4666826;3410844;1255982;0;conventional;Atlanta
34;03/05/2015;1;63421310;53840348;2856826;105973;6618163;3252082;3366081;0;conventional;Atlanta
35;26/04/2015;1.12;44859676;38767681;1836633;104178;4151184;3131529;1019655;0;conventional;Atlanta
36;19/04/2015;1.12;43096634;36870965;1804085;87324;4334260;2966172;1368088;0;conventional;Atlanta
37;12/04/2015;0.99;45110189;37757848;2241995;21914;5088432;2583307;2505125;0;conventional;Atlanta
38;05/04/2015;1.04;38313949;31847347;1925439;37451;4503712;2861248;1628992;13472;conventional;Atlanta
39;29/03/2015;1.11;36572214;30502889;1665199;26101;4378025;2931392;1446633;0;conventional;Atlanta
40;22/03/2015;1;47959062;39359103;2341960;30489;6227510;4049512;2176654;1344;conventional;Atlanta
41;15/03/2015;1.12;39956622;33617208;1650821;31070;4657523;3491170;1162594;3759;conventional;Atlanta
42;08/03/2015;1.1;42082632;36155922;1578871;23697;4324142;3384733;939409;0;conventional;Atlanta
43;01/03/2015;0.99;51253244;44154400;2118370;34778;4945696;3218090;1727338;268;conventional;Atlanta
44;22/02/2015;1.1;43130856;36931629;1832476;23747;4343004;3342374;1000630;0;conventional;Atlanta
45;15/02/2015;1.06;42739128;36444677;1742041;63818;4488592;2672766;1815826;0;conventional;Atlanta
46;08/02/2015;1.03;43388391;37725638;1716250;52485;3894018;1804441;2089577;0;conventional;Atlanta
47;01/02/2015;0.96;63677137;55319856;3158338;29494;5169449;1055373;4114076;0;conventional;Atlanta
48;25/01/2015;1.1;44933285;39340817;1871827;59425;3661216;1317639;2343577;0;conventional;Atlanta
49;18/01/2015;1.11;43149099;37223692;1870190;51169;4004048;1678271;2325777;0;conventional;Atlanta
50;11/01/2015;1.11;39754272;33041124;1895822;113518;4703808;2130961;2572847;0;conventional;Atlanta
51;04/01/2015;1;43502149;36430239;2382116;8215;4681579;1670715;3010864;0;conventional;Atlanta
0;27/12/2015;1.17;59681940;4045049;39410402;1735379;14491110;14254388;236722;0;conventional;BaltimoreWashington
1;20/12/2015;1.11;64268240;4474137;43459082;1911214;14423807;14175191;248616;0;conventional;BaltimoreWashington
2;13/12/2015;1.15;61950933;4440026;39985159;2429120;15096628;14907040;189588;0;conventional;BaltimoreWashington
3;06/12/2015;1.04;64914125;5112929;45358650;2576049;11866497;11711277;155220;0;conventional;BaltimoreWashington
4;29/11/2015;1.16;54580005;4102815;37915609;2014753;10546828;10361595;185233;0;conventional;BaltimoreWashington
5;22/11/2015;1.12;57201980;4086780;38613778;2334349;12167073;11900761;266312;0;conventional;BaltimoreWashington
